IID	SPAD_Shenzhen_2022_Nautural_Booting
WATDE0900	NA
WATDE0901	46.4
WATDE0902	42.8
WATDE0903	NA
WATDE0904	42.5
WATDE0905	39.9
WATDE0906	34.7
WATDE0907	35.2
WATDE0909	39.2
WATDE0910	39
WATDE0911	NA
WATDE0912	38.2
WATDE0913	38.7
WATDE0914	NA
WATDE0915	37.4
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	48.3
WATDE0920	NA
WATDE0922	NA
WATDE0923	47.4
WATDE0924	32.6
WATDE0926	NA
WATDE0927	35.2
WATDE0928	43.2
WATDE0929	36.1
WATDE0930	33.2
WATDE0932	40.7
WATDE0933	33.4
WATDE0934	35.5
WATDE0935	37.2
WATDE0937	34.2
WATDE0938	33
WATDE0939	34.9
WATDE0941	NA
WATDE0944	40.75
WATDE0945	33.8
WATDE0947	42
WATDE0950	NA
WATDE0951	39.4
WATDE0952	42.7
WATDE0953	NA
WATDE0954	35.1
WATDE0955	NA
WATDE0957	32.5
WATDE0958	NA
WATDE0961	NA
WATDE0963	34.7
WATDE0965	NA
WATDE0966	36.95
WATDE0967	34.3
WATDE0969	NA
WATDE0970	36.3
WATDE0971	31.9
WATDE0973	NA
WATDE0974	33.4
WATDE0975	NA
WATDE0977	40.7
WATDE0978	36.1
WATDE0979	45.35
WATDE0981	NA
WATDE0982	NA
WATDE0983	42
WATDE0984	36.6
WATDE0986	47.2
WATDE0987	40.3
WATDE0989	36.2
WATDE0991	NA
WATDE0993	35.9
WATDE0995	39.4
WATDE0996	37.45
WATDE0997	NA
WATDE0999	35.3
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	44.6
WATDE1005	41.3
WATDE1008	32.1
WATDE1009	39.7
WATDE1010	39.85
WATDE1012	43.3
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	38.85
WATDE1019	38.4
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	36.2
WATDE1027	NA
WATDE1029	35.3
WATDE1031	41
WATDE1032	42.9
WATDE1034	NA
WATDE1035	39.05
WATDE1037	NA
WATDE1038	NA
WATDE1040	NA
WATDE1042	NA
WATDE1044	37.8
WATDE1046	NA
WATDE1048	NA
WATDE1049	45.8
WATDE1050	39
WATDE1051	41.5
WATDE1052	37.9
WATDE1053	NA
WATDE1055	NA
WATDE1056	36.5
WATDE1058	31.8
WATDE1060	41.7
WATDE1061	37.1
WATDE1062	34.3
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
