IID	GI_Shenzhen-LN_2020_Natural
WATDE1003	NA
WATDE1004	2.189263449
WATDE1005	1.610906838
WATDE1008	NA
WATDE1009	2.457937206
WATDE1010	2.061814621
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	2.291507171
WATDE1023	NA
WATDE1025	NA
WATDE1026	NA
WATDE1027	NA
WATDE1029	NA
WATDE1031	2.253751807
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	1.81743778
WATDE1038	0.873037762
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	1.395125891
WATDE1048	1.621963468
WATDE1049	1.573633505
WATDE1050	2.483898654
WATDE1051	1.948817959
WATDE1052	2.036990643
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	2.59237868
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
