IID	SplN_Kaifeng-GH_2020_Natural_Fertile
WATDE0797	19.00
WATDE0798	18.00
WATDE0800	11.00
WATDE0802	18.00
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	15.11
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	18.33
WATDE0817	NA
WATDE0818	5.00
WATDE0819	NA
WATDE0821	NA
WATDE0823	21.40
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	20.50
WATDE0831	NA
WATDE0833	NA
WATDE0835	14.44
WATDE0836	14.22
WATDE0837	11.00
WATDE0839	11.00
WATDE0840	NA
WATDE0841	14.50
WATDE0843	NA
WATDE0845	NA
WATDE0846	19.00
WATDE0848	22.33
WATDE0850	8.00
WATDE0851	18.00
WATDE0852	1.00
WATDE0854	16.33
WATDE0856	NA
WATDE0857	14.71
WATDE0859	18.86
WATDE0861	14.78
WATDE0862	14.00
WATDE0863	18.56
WATDE0864	12.00
WATDE0865	18.33
WATDE0869	3.00
WATDE0871	25.33
WATDE0872	13.00
WATDE0873	18.00
WATDE0874	13.00
WATDE0875	NA
WATDE0876	15.00
WATDE0877	NA
WATDE0878	18.67
WATDE0879	20.33
WATDE0880	17.33
WATDE0881	17.67
WATDE0882	NA
WATDE0883	NA
WATDE0884	6.00
WATDE0887	20.33
WATDE0888	17.11
WATDE0889	12.56
WATDE0890	NA
WATDE0892	NA
WATDE0894	17.33
WATDE0895	NA
WATDE0896	NA
WATDE0898	NA
WATDE0899	8.00
WATDE0900	NA
WATDE0901	11.00
WATDE0902	14.00
WATDE0903	NA
WATDE0904	11.00
WATDE0905	15.00
WATDE0906	13.00
WATDE0907	15.00
WATDE0909	15.00
WATDE0910	20.00
WATDE0911	NA
WATDE0912	NA
WATDE0913	21.67
WATDE0914	NA
WATDE0915	NA
WATDE0916	24.00
WATDE0917	16.00
WATDE0918	25.00
WATDE0919	15.33
WATDE0920	18.00
WATDE0922	4.00
WATDE0923	9.00
WATDE0924	10.33
WATDE0926	20.00
WATDE0927	20.00
WATDE0928	22.33
WATDE0929	19.00
WATDE0930	19.50
WATDE0932	23.00
