IID	FT_Kaifeng-GH_2020_Natural
WATDE0975	NA
WATDE0977	171.00
WATDE0978	117.00
WATDE0979	118.00
WATDE0981	134.50
WATDE0982	NA
WATDE0983	126.00
WATDE0984	78.33
WATDE0986	118.00
WATDE0987	123.00
WATDE0989	144.00
WATDE0991	72.00
WATDE0993	138.33
WATDE0995	71.00
WATDE0996	147.00
WATDE0997	128.00
WATDE0999	128.50
WATDE1001	145.00
WATDE1002	127.00
WATDE1003	145.67
WATDE1004	119.67
WATDE1005	105.67
WATDE1008	154.50
WATDE1009	99.67
WATDE1010	105.00
WATDE1012	134.00
WATDE1014	124.33
WATDE1016	139.33
WATDE1017	145.00
WATDE1018	136.50
WATDE1019	NA
WATDE1021	139.00
WATDE1023	142.67
WATDE1025	134.67
WATDE1026	89.33
WATDE1027	143.00
WATDE1029	172.00
WATDE1031	134.00
WATDE1032	114.17
WATDE1034	NA
WATDE1035	119.00
WATDE1037	126.00
WATDE1038	63.00
WATDE1040	128.67
WATDE1042	126.33
WATDE1044	138.00
WATDE1046	65.00
WATDE1048	123.00
WATDE1049	123.00
WATDE1050	125.00
WATDE1051	81.00
WATDE1052	140.00
WATDE1053	NA
WATDE1055	133.00
WATDE1056	149.50
WATDE1058	132.00
WATDE1060	70.00
WATDE1061	154.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
