IID	CC_Shenzhen_2022_Natural_220107
WATDE1034	NA
WATDE1035	33.20
WATDE1037	27.60
WATDE1038	31.30
WATDE1040	28.80
WATDE1042	NA
WATDE1044	32.30
WATDE1046	38.30
WATDE1048	34.70
WATDE1049	39.90
WATDE1050	40.40
WATDE1051	32.10
WATDE1052	30.70
WATDE1053	NA
WATDE1055	37.60
WATDE1056	33.00
WATDE1058	30.80
WATDE1060	27.70
WATDE1061	32.60
WATDE1062	33.10
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
