IID	GY_Shenzhen-NN_2021_Natural_1plot
WATDE0723	80.00
WATDE0725	82.00
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	186.00
WATDE0730	50.00
WATDE0732	95.00
WATDE0735	183.00
WATDE0736	NA
WATDE0737	202.00
WATDE0738	177.00
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	148.00
WATDE0747	37.00
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	184.00
WATDE0752	NA
WATDE0754	68.00
WATDE0755	NA
WATDE0756	167.50
WATDE0758	NA
WATDE0759	193.00
WATDE0760	165.00
WATDE0761	NA
WATDE0763	251.00
WATDE0765	187.00
WATDE0766	118.00
WATDE0768	249.50
WATDE0769	103.00
WATDE0770	66.00
WATDE0771	146.00
WATDE0773	251.00
WATDE0774	NA
WATDE0775	21.00
WATDE0776	100.00
WATDE0777	NA
WATDE0779	NA
WATDE0780	83.50
WATDE0781	NA
WATDE0782	125.50
WATDE0783	140.50
WATDE0785	192.50
WATDE0786	NA
WATDE0788	249.00
WATDE0789	83.00
WATDE0790	141.00
WATDE0791	132.00
WATDE0793	225.00
WATDE0794	162.50
WATDE0795	168.00
WATDE0797	258.00
WATDE0798	177.00
WATDE0800	219.00
WATDE0802	258.50
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	142.50
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	114.50
WATDE0836	181.00
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	38.00
WATDE0843	NA
WATDE0845	NA
WATDE0846	58.00
WATDE0848	NA
WATDE0850	119.00
WATDE0851	149.00
WATDE0852	63.00
WATDE0854	264.50
WATDE0856	NA
WATDE0857	203.00
WATDE0859	152.00
WATDE0861	153.50
WATDE0862	157.50
WATDE0863	228.50
WATDE0864	NA
WATDE0865	122.50
WATDE0869	NA
WATDE0871	124.00
WATDE0872	56.00
WATDE0873	30.00
WATDE0874	NA
WATDE0875	NA
WATDE0876	35.00
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	106.00
WATDE0889	47.00
WATDE0890	64.00
WATDE0892	NA
WATDE0894	NA
WATDE0895	141.50
WATDE0896	NA
WATDE0898	NA
WATDE0899	104.00
WATDE0900	NA
WATDE0901	189.00
WATDE0902	NA
WATDE0903	NA
WATDE0904	259.00
WATDE0905	202.00
WATDE0906	101.00
WATDE0907	196.00
WATDE0909	275.00
WATDE0910	193.00
WATDE0911	NA
WATDE0912	161.00
WATDE0913	307.50
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	137.00
WATDE0918	NA
WATDE0919	117.50
WATDE0920	NA
WATDE0922	NA
WATDE0923	95.00
WATDE0924	189.00
WATDE0926	301.50
WATDE0927	NA
WATDE0928	90.50
WATDE0929	NA
WATDE0930	26.00
WATDE0932	142.00
WATDE0933	88.00
WATDE0934	26.00
WATDE0935	NA
WATDE0937	108.00
WATDE0938	90.00
WATDE0939	NA
WATDE0941	NA
WATDE0944	59.50
WATDE0945	177.00
WATDE0947	37.00
WATDE0950	NA
WATDE0951	145.00
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	134.00
WATDE0958	NA
WATDE0961	NA
WATDE0963	65.00
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	41.00
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	118.50
WATDE0984	162.00
WATDE0986	NA
WATDE0987	NA
WATDE0989	147.00
WATDE0991	133.00
WATDE0993	NA
WATDE0995	147.50
WATDE0996	199.00
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	103.50
WATDE1005	89.50
WATDE1008	NA
WATDE1009	189.00
WATDE1010	153.00
WATDE1012	169.00
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	96.00
WATDE1027	NA
WATDE1029	NA
WATDE1031	43.00
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	149.00
WATDE1038	257.00
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	256.00
WATDE1048	79.00
WATDE1049	172.00
WATDE1050	175.50
WATDE1051	211.00
WATDE1052	NA
WATDE1053	NA
WATDE1055	66.00
WATDE1056	31.00
WATDE1058	NA
WATDE1060	274.00
WATDE1061	73.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
