IID	Mat_Shenzhen_2022_Natural_50percnet
WATDE0797	143
WATDE0798	157
WATDE0800	157
WATDE0802	150
WATDE0803	183
WATDE0804	145
WATDE0805	170
WATDE0807	151
WATDE0808	170
WATDE0810	181
WATDE0811	157
WATDE0812	187
WATDE0814	143
WATDE0815	NA
WATDE0816	NA
WATDE0817	170
WATDE0818	NA
WATDE0819	188
WATDE0821	NA
WATDE0823	183
WATDE0825	NA
WATDE0826	NA
WATDE0827	104
WATDE0828	NA
WATDE0830	181
WATDE0831	186
WATDE0833	187
WATDE0835	160
WATDE0836	149
WATDE0837	172
WATDE0839	168
WATDE0840	149
WATDE0841	172
WATDE0843	186
WATDE0845	185
WATDE0846	157
WATDE0848	187
WATDE0850	143
WATDE0851	150
WATDE0852	169
WATDE0854	125
WATDE0856	183
WATDE0857	149
WATDE0859	162
WATDE0861	150
WATDE0862	172
WATDE0863	144
WATDE0864	NA
WATDE0865	174
WATDE0869	182
WATDE0871	150
WATDE0872	181
WATDE0873	174
WATDE0874	183
WATDE0875	183
WATDE0876	183
WATDE0877	182
WATDE0878	188
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	172
WATDE0883	184
WATDE0884	NA
WATDE0887	NA
WATDE0888	164
WATDE0889	144
WATDE0890	172
WATDE0892	174
WATDE0894	170
WATDE0895	191
WATDE0896	183
WATDE0898	NA
WATDE0899	156
WATDE0900	NA
WATDE0901	125
WATDE0902	141
WATDE0903	NA
WATDE0904	140
WATDE0905	141
WATDE0906	150
WATDE0907	143
WATDE0909	125
WATDE0910	101
WATDE0911	NA
WATDE0912	171
WATDE0913	147
WATDE0914	NA
WATDE0915	170
WATDE0916	114
WATDE0917	112
WATDE0918	NA
WATDE0919	137
WATDE0920	NA
WATDE0922	97
WATDE0923	NA
WATDE0924	103
WATDE0926	109
WATDE0927	105
WATDE0928	171
WATDE0929	171
WATDE0930	172
WATDE0932	148
WATDE0933	162
WATDE0934	172
WATDE0935	173
WATDE0937	165
WATDE0938	174
WATDE0939	120
WATDE0941	NA
WATDE0944	173
WATDE0945	170
WATDE0947	165
WATDE0950	173
WATDE0951	164
WATDE0952	170
WATDE0953	NA
WATDE0954	172
WATDE0955	NA
WATDE0957	164
WATDE0958	NA
WATDE0961	186
WATDE0963	134
WATDE0965	NA
WATDE0966	163
WATDE0967	184
WATDE0969	175
WATDE0970	184
WATDE0971	183
WATDE0973	NA
WATDE0974	143
WATDE0975	NA
WATDE0977	173
WATDE0978	172
WATDE0979	181
WATDE0981	NA
WATDE0982	183
WATDE0983	171
WATDE0984	157
WATDE0986	134
WATDE0987	174
WATDE0989	147
WATDE0991	152
WATDE0993	172
WATDE0995	151
WATDE0996	169
WATDE0997	NA
WATDE0999	174
WATDE1001	NA
WATDE1002	NA
WATDE1003	185
WATDE1004	173
WATDE1005	174
WATDE1008	184
WATDE1009	170
WATDE1010	168
WATDE1012	162
WATDE1014	NA
WATDE1016	181
WATDE1017	NA
WATDE1018	175
WATDE1019	172
WATDE1021	NA
WATDE1023	NA
WATDE1025	184
WATDE1026	165
WATDE1027	NA
WATDE1029	171
WATDE1031	181
WATDE1032	174
WATDE1034	183
WATDE1035	175
WATDE1037	164
WATDE1038	106
WATDE1040	NA
WATDE1042	NA
WATDE1044	181
WATDE1046	133
WATDE1048	162
WATDE1049	171
WATDE1050	164
WATDE1051	150
WATDE1052	183
WATDE1053	NA
WATDE1055	162
WATDE1056	174
WATDE1058	182
WATDE1060	147
WATDE1061	169
WATDE1062	182
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
